,year,month,max_delta_time
18,2024,3,0 days 08:00:00
17,2024,2,0 days 08:00:00
16,2024,1,0 days 12:00:00
10,2023,7,0 days 08:00:00
15,2023,12,0 days 13:00:00
14,2023,11,0 days 09:00:00
13,2023,10,0 days 09:00:00
12,2023,9,0 days 08:00:00
11,2023,8,0 days 08:00:00
9,2023,6,0 days 08:00:00
8,2023,5,0 days 08:30:00
7,2023,4,1 days 10:30:00
6,2023,3,0 days 04:30:00
5,2023,2,0 days 14:10:00
4,2023,1,0 days 08:00:00
1,2022,10,0 days 10:00:00
3,2022,12,0 days 09:15:00
2,2022,11,0 days 03:00:00
0,2022,9,0 days 00:59:00
